id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Jan34733995,"31.05.2025 r. - Ukraina. Trwają pochówki. Ukraińcy będą ekshumować szczątki Polaków, których sami pomordowali. Nam - odmawiają. Warunkiem dokonania ekshumacji jest postawienie na terytorium Polski pomników ukraińskim ludobójcom! Już my wam, swołoczy jedna, wybudujemy!",0,0,0,0,"May 31, 2025 · 10:59 AM UTC",268,34,
2,ChuSchu1,Beasts. Tyranny. How to destroy social cohesion in society 1.01. Forced mobilization Ukraine Ukraina Svpol,0,0,0,0,"May 31, 2025 · 10:59 AM UTC",106,15,
3,HALLONSA,Magdalena Andersson ägnar sig åt historierevisionism från talarstolen. Hon säger på S-konventet att hon direkt gjorde allt för Ukraina 2022. Det stämmer inte. Det lät snarare tvärt om från henne då..,2,28,3,33,"May 31, 2025 · 6:43 AM UTC",199,31,
4,zodermalm,"Tre år vid makten och @moderaterna har inte stängt gränserna, inte förbjudit tiggeri, inte börjat repatriera folk som inte ska vara här. Av paradigmskiftet blev intet. Men vi fick könsbyten på barn, polisstat och 100% fokus på Ukraina, Uganda what not 🤡",2,110,33,145,"May 30, 2025 · 5:31 AM UTC",253,42,
5,T87402Thor,"En hver som ønsker krigføring er ett ont menneske. Spiller ingen rolle om propaganda har fått en til å holde med Ukraina eller Russland. Ønsker man fortsatt krig, og t.o.m. involvere Norge i det, ja da er man stokk dum og ond!!",0,0,0,0,"May 31, 2025 · 10:58 AM UTC",227,42,
6,kyokkana38122,"Orpo ei tajua mistään mitään. Koko Ukraina on kohta venäjän huostassa, mutta Orpo kuvittelee, että Suomalaiset firmat lähtee ukrainan jälleenrakentamiseen. Höpö höpö. Venäjä päättää, tuleeko Suomesta ainoatakaan rakennusfirmaa, ukrainaan, ts, suurvenäjään.",0,0,0,0,"May 31, 2025 · 10:58 AM UTC",256,31,
7,LarsErikNyman25,"PUTININ MURHAYRITYKSEN TAKANA ILMEISESTI CIA, MI5, MI6, SBU, MOSSAD? - JA TIETOISIA YRITYKSESTÄ NATO, EU, RANSKA, BRITANNIA, SAKSA, UKRAINA, EHKÄ SUOMIKIN? newsweek.com/vladimir-putin-…",0,0,0,0,"May 31, 2025 · 10:57 AM UTC",185,22,
8,TarganiciKKj,Nigdy nie było takiego zjebania umysłowego w Polsce jak obecnie mają włodarze miast. Pierdolenie że to solidaryzowanie się z Ukrainą . My już tak zwariowaliśmy że ten solidaryzm przedkładany jest nad dobro Polski i Polaków. Hańba wam urzędasy.,0,1,0,1,"May 31, 2025 · 10:04 AM UTC",243,38,
9,LarchSky91060,Ukraina to kraj malwersacji I korupcji.,0,0,0,0,"May 31, 2025 · 10:56 AM UTC",39,6,
10,Manaphy20,"No Ukraina może mieć bardzo wielkie kłopoty jeśli Ci uchodźcy postanowią nie wrócić. Ale co ma płacenie niepracującym do dzietnosci? Chyba, ze takim, ktorzy nie pracują bo mają dzieci.",0,0,0,0,"May 31, 2025 · 10:56 AM UTC",184,29,
11,w12061966,Te pisoskie gnidy niedlugo pojada do swoich do kacapow a miedzy Polska a Ukraina nastanie przyjazn i pojednanie ! Bracia Ukranincy nie watpcie w nas !,0,0,0,0,"May 31, 2025 · 10:56 AM UTC",150,26,
12,Tas_es_Pats,"žēl tikai, ka nacinālie līdzskaņi nemaz nav spējīgi uz specoperāciju, jo šādus nekaunīgus marodierus nudien derētu pedagoģiskos nolūkos piesiet pie koka Ukrainā, kur krievu droni lido",0,0,0,0,"May 31, 2025 · 10:56 AM UTC",183,26,
13,ChangFrick,"Om vi bortser från de extrema elementen/individer som förekom i BSS-rörelsen på 80-talet och funderar mer över budskapet ”Bevara Sverige svenskt” så ser jag ärligt talat inte problemet. De som exempelvis stödjer Ukraina på olika sätt vill ju att det ska förbli ukrainskt, inte ryskt. De som vill rädda våtmarker vill bevara det som finns på plats i naturen, osv osv. Och den som vill bevara Sverige svenskt ger väl i grunden uttryck för en konservativ syn på samhället, alltså att man vill behålla och värna det som gör Sverige unikt? Den som invänder mot detta, vilket man självklart kan göra, får ju svara på vad Sverige ska vara istället - om inte svenskt? Och innan någon drar igång med konspirationsteorier, nej - det här inlägget handlar på inget sätt om att rehabilitera BSS-rörelsen (de hade förmodligen velat kicka ut mig med ur Sverige trots att jag är född här) utan jag är mer nyfiken på just ordalydelsen, dess betydelse och hur det uppfattas. Jag tror folk tänker väldigt olika saker när de hör frasen ”Bevara Sverige svensk”. Eller vad säger min svans?",9,77,118,204,"May 30, 2025 · 7:48 PM UTC",1067,183,
14,Minister_Prawdy,Ukraina coraz bliżej wojny domowej. Ludzie masowo wychodzą bronić każdego jednego przed hyclami.,14,401,93,508,"May 30, 2025 · 11:45 AM UTC",96,13,
15,BalliMarzec,"„#Ukraina jest bankrutem”. Czy Kijów ogłosi oficjalną niewypłacalność? Po raz pierwszy w historii zadłużenie zagraniczne Ukrainy przekroczyło 100% PKB, co w praktyce oznacza jej bankructwo.",1,4,1,6,"May 31, 2025 · 7:17 AM UTC",189,25,
