id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Minister_Prawdy,Ukraina coraz bliżej wojny domowej. Ludzie masowo wychodzą bronić każdego jednego przed hyclami.,16,415,97,528,"May 30, 2025 · 11:45 AM UTC",96,13,
2,RafalskaM,"Ukraina nie była zaskoczona. Dlatego odparła ruski atak. Wojska nie było w koszarach, samolotów w hangarach. Gdzie tu zaskoczenie?",0,0,0,0,"May 31, 2025 · 5:15 PM UTC",130,19,
3,piotrkaszuwara,"Krzysztof Gorzelak, Polak, żołnierz, były dziennikarz, zginął na froncie w Ukrainie. Dwa lata temu postanowił zaciągnąć się do wojska i walczyć z rosyjskimi najeźdźcami. Krzysztof miał 45 lat i zostanie pochowany w Ukrainie – podają kieleckie media. #Ukraina #Polska #Polacynawojnie #SZU #ZSU #Wojnazrosją #Rosja #front #Ukraine #Poland",3,90,75,168,"May 31, 2025 · 2:17 PM UTC",336,47,
4,Carl_Rulezzz,"Tylko, że te mityczne 3 dni SMO to właśnie ocena zachodnich głównie amerykańskich elit wojskowych, którzy przewidywali, że Ukraina nie wytrzyma dłużej niż 3 dni, więc walnąłeś Zdradku kulą w płot. To twoi kumple z zachodu tam twierdzili, a nigdy Rosja.🤣🤡foxnews.com/us/gen-milley-sa…",0,0,0,0,"May 31, 2025 · 5:15 PM UTC",283,41,
5,detikcom,China bereaksi atas pernyataan Presiden Prancis Emmanuel Macron yang mengaitkan konflik Ukraina dengan nasib Taiwan. news.detik.com/internasional…,0,0,0,0,"May 31, 2025 · 5:15 PM UTC",146,16,
6,T87402Thor,"Som kjent? Hvem er det som har gjort det kjent da? Nei, jeg bryr meg ikke nevneverdig om være seg Russland eller Ukraina. Men det er veldig tydelig (og burde være det for alle, om ikke folk så lett lot seg lede av propaganda) at krigen ble provosert fram av USA/Nato. Og at de har provosert gjennom veldig veldig mange år. Så som at de 13 ganger tidligere har brutt avtalen om å ikke flytte Nato en tomme lenger øst!! Deretter for å spole fram forbi mye annet, så står USA bak kuppet på Maiden. Og deretter drepes etniske russere i tusentall i øst-Ukraina. I tillegg til at folk nektes å prate/skrive russisk. Ingen brydde seg om det som foregikk de 8 årene. Knapt så det var dekket av nyhetene. Fordi i alles øyne var Ukraina bare ett ekstremt korrupt land ingen brydde seg om. Men det hele var en felle for å lokke Russland til å rykke inn. Og det gjorde de. Varslet om det flere ganger. At de var tvunget til å gå inn og beskytte folket fra ukrainsk militær/nazistene! Fram til da hadde ikke vesten gjort det minste for å få slutt på menneskerensingen. Ingen ting! Nada!! 14 dager senere så ble det skrevet fredsavtale i Tyrkia, underskrevet av både Putin og Zalensky! Men det ville ikke USA/Nato. Så de sendte UK’s Boris Johnson for å få Zalensky til å fortsette krigen. Og ja. Selvfølgelig for at de ønsket å gjøre Russland ansvarlig for å starte tredje verdenskrig. Derfor EU-land overtok galskapen med å fore opp Ukrainas våpendepoer så «krigen» kunne fortsette etter Trump dro USA’s sinnsyke bidrag vekk fra Ukraina. Nato har flere ganger nektet å prate med Russland for å oppnå fred. Selv Stoltenberg (som ikke skjønner bedre) fortalte hvordan Nato hadde nektet Russland fredsforhandlinger! Så Russiske og Ukrainske liv er ikke verdt en dritt for vesten. Kun en syk forestilling om at å velge side og støtte opp om propagandaen vi blir foret med! Så hvorfor ønsker ikke Nato fred?? Hva er det de håper på? De vet veldig godt at de aldri kan måle krefter mot Russland! Men likevel fortsetter de å provosere! Jeg kan garantere at både det Ukrainske og Russiske folk vil ha fred! Minst 2 generasjoner russiske menn er nesten utryddet!! Men folket i vesten har ikke fått nok blod.",0,0,0,0,"May 31, 2025 · 5:14 PM UTC",2185,390,
7,krzysztof238627,"Jestem za UKrainą w NATo i UE ,jestem za euro w Polsce ,jestem za demokracją ,tolerancją i prawami człowieka dla wszystkich ,A ty ruski trolu wypierdalaj do moskwy",0,0,0,0,"May 31, 2025 · 5:14 PM UTC",163,28,
8,EKOlodziejczak_,"Wspólne działanie Polski z Ukrainą wymaga odważnych decyzji. Jako panelista Baltic Business Forum przedstawiłem mój plan budowy portu na Ukrainie. To niepopularny pomysł, który pokazuje, że możemy ze stroną ukraińską coś razem zrobić. A w punkt ujął to prezydent Kwaśniewski: koniec z mówieniem, usiądźmy razem do stołu i rozrysujmy plan.",0,1,1,2,"May 31, 2025 · 5:06 PM UTC",338,50,
9,nanamicant,They literally did it dumbass,5,352,6,363,"May 30, 2025 · 9:40 PM UTC",29,5,
10,RealuFanka,"Może gdybyśmy my zaoferowali Ukrainie coś więcej od okazywania wdzięczności i przypominania Wołynia, Ukraina nie trafiłaby w ramiona Niemiec?",0,0,1,1,"May 31, 2025 · 5:12 PM UTC",141,19,
