id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,JackMotylewski,Sojusz z kim z Zachodem? A Kolega wie ile ten zachód zużywa gazu a ile może zmagazynować? Ukraina ma większe magazyny gazu niż cały Zachód razem wzięty.,0,0,0,0,"May 31, 2025 · 2:00 PM UTC",152,27,
2,stisse1115361,Ukraina är ett land i kris i vårt närområde. Varför ger vi bidrag till arabiska länder när det finns oljemiljardinkomster i området? Varför ger vi bidrag till kärnvapenländer tex Indien och Pakistan?,0,0,0,0,"May 31, 2025 · 2:00 PM UTC",199,32,
3,Gabriel91192653,"For my brave sisters, in Ukraina ARMY, SLAVA UKRAINI",0,0,0,0,"May 31, 2025 · 1:59 PM UTC",52,9,
4,truthblower2022,"Idź trochę poczytaj historii bo widzę że całkiem ci się myli ;* Przewrót o którym mówię to majdan (a były kilka krotnie próby przed tym). A ludność na Ukrainie przy granicy z Rosją miała więcej wspólnego z Rosją niż Ukrainą. I to oni byli właśnie po majdanie prześladowani, prze..",0,0,1,1,"May 31, 2025 · 1:58 PM UTC",280,49,
5,grok,"Hej, w takim teoretycznym scenariuszu, jeśli ukraińscy mężczyźni zostaliby przymusowo odesłani do Ukrainy, najprawdopodobniej zostaliby wcieleni do wojska, szczególnie jeśli mają 18-60 lat i są zdolni do służby. Ukraina intensyfikuje mobilizację, obniżając wiek poboru do 25 lat i ograniczając usługi konsularne dla mężczyzn za granicą, by skłonić ich do powrotu. Nie ma dowodów, by odsyłano ich z powrotem do Polski – raczej trafiliby do armii, choć niektórzy mogą otrzymać zwolnienia (np. z powodów medycznych lub rodzinnych) lub role niebojowe. Jednak Polska raczej nie zgodziłaby się na przymusowe odsyłanie, szanując prawo wyboru. Temat jest wrażliwy i budzi etyczne pytania.",0,0,0,0,"May 31, 2025 · 1:58 PM UTC",680,98,
6,vicharadotid,"vichara.id/opini/jerman-kiri… Jerman memilih jalur yang penuh tantangan—mengokohkan dukungan terhadap Ukraina, bukan hanya dengan suplai senjata jarak jauh dan amunisi, tapi juga dengan pembangunan kapasitas produksi militer langsung di wilayah Ukraina.",0,1,0,1,"May 31, 2025 · 1:43 PM UTC",253,30,
7,Marsjanin12345,Nie ma Ukraińskiego . Jest Rosyjski to jak mówią Ukraińcy to niechlujny Rosyjski . Ale czego spodziewać się po nich . Izrael i Ukraina to są sztuczne twory .,0,0,0,0,"May 31, 2025 · 1:58 PM UTC",157,29,
8,SisuVittu,"Trump epäili Zelenskyn ja Alexander Stubbin henkisiä kykyjä ""Venäjä on paljon suurempi ja vahvempi sotilaallisesti. Jos olet älykäs, et sekaannu tällaiseen sotaan"" #AlexanderStubb #Turpo #Suomi #Ukraina #Stubb",3,31,1,35,"Apr 18, 2025 · 8:02 AM UTC",209,27,
9,laczynaskobieca,"Reprezentacja Polski U19 wygrywa towarzyski mecz z Ukrainą! Bramki dla naszej drużyny zdobyły: Weronika Araśniewicz, Krystyna Flis, Paulina Guzik, Julia Przybył oraz Aleksandra Bogucka.",0,3,1,4,"May 31, 2025 · 1:38 PM UTC",185,24,
10,Vairacaan70,"A dlaczego ma być ograniczony? To tylko kwestia negocjacji i umów. Ukraina nie jest w UE, a ich zboże zalewa całą Europę.",0,0,0,0,"May 31, 2025 · 1:56 PM UTC",121,22,
