id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Skalinskalin,Dla uzupełnienia poprzedniego wpisu saldo wymiany handlowej z Ukrainą #handel #gospodarka,0,68,3,71,"May 31, 2025 · 7:26 AM UTC",89,11,
2,piotrkaszuwara,"Krzysztof Gorzelak, Polak, żołnierz, były dziennikarz, zginął na froncie w Ukrainie. Dwa lata temu postanowił zaciągnąć się do wojska i walczyć z rosyjskimi najeźdźcami. Krzysztof miał 45 lat i zostanie pochowany w Ukrainie – podają kieleckie media. #Ukraina #Polska #Polacynawojnie #SZU #ZSU #Wojnazrosją #Rosja #front #Ukraine #Poland",3,99,86,188,"May 31, 2025 · 2:17 PM UTC",336,47,
3,Odwroconypapiez,"To dlaczego Ukraina cały czas się tak nazywa skoro było tak źle? Ty wiesz że kiedyś to znaczyło dosłownie Pogranicze, prawda?",0,0,0,0,"May 31, 2025 · 5:35 PM UTC",125,21,
4,sonya_soy,"Tak, ale nie tylko o to chodzi. Niemniej na papierze prezentują się lepiej niż Ukraina. Ale weźmy taka albanie lub moldawie jako przykład. Te kraje miałyby nie dołączyć lub dołączyć na równych warunkach jak Ukraina?",0,0,0,0,"May 31, 2025 · 5:34 PM UTC",215,35,
5,dr_libitum,"Att verkligen göra något på riktigt är för riskabelt. Uffe nöjer sig med några floskler och hoppas att könsbyteslagen, fortsatt migration och Ukraina ska rädda honom så han slipper nuvarande jobb.",0,0,0,0,"May 31, 2025 · 5:34 PM UTC",196,31,
6,KakazKakazo2,W razie czegi6 - możemy liczyć na Niemcy. Jak Ukraina,0,0,0,0,"May 31, 2025 · 5:33 PM UTC",53,10,
7,ciszek_szymon,"Nie popieram ,,obronę” Rosji, gdyż Rosja się nie broni, tylko napadła na inny kraj. Rosjanie wiele razy grozili inwazją, a nie mogę na razie tego zrobić, bo męczą się, z ukrainą, i potrzebują odpowiedniej strategii, która im to daje dłuższa granica.",0,0,1,1,"May 31, 2025 · 5:33 PM UTC",249,41,
8,christerstolt,Ukraina är INTE en del av Sverige.,1,4,1,6,"May 31, 2025 · 4:28 PM UTC",34,7,
9,kommunalarbeta1,"Finns det ingen normal moderat kvar, de är ju en samling pajaser bara. Har regeringen sänkt råoljepriset från 120kr till 60 kr fatet. De borde vara straffbart att ljuga väljarna rakt i ansiktet. Snart anklagar de sossarna att de var de som startade kriget mot Ukraina också.",0,1,0,1,"May 31, 2025 · 5:31 PM UTC",274,47,
10,Minister_Prawdy,Ukraina coraz bliżej wojny domowej. Ludzie masowo wychodzą bronić każdego jednego przed hyclami.,17,416,97,530,"May 30, 2025 · 11:45 AM UTC",96,13,
